app,cores,time_s,energy_j,area_mm2
art,1,2.11363529411764705882,36.84235925958122983324,70
art,2,1.05818235294117647058,24.44365636671069859880,109
art,3,.70976470588235294117,20.47278178016195004554,149
art,4,.53105294117647058823,18.33802172133591530107,189
art,5,.54167647058823529411,19.77377425254921428154,228
art,6,.51526470588235294117,20.29167046203291646090,268
art,7,.49636470588235294117,20.93359467191501701405,307
art,8,.49715882352941176470,22.02630176552286489758,347
blackscholes,1,2.77091764705882352941,45.38289203458846835208,70
blackscholes,2,1.38620588235294117647,29.12194212253168147997,109
blackscholes,3,.92964705882352941176,23.92396726739282221051,149
blackscholes,4,.70427647058823529411,21.29349453486879918219,189
blackscholes,5,.56822941176470588235,19.80410844011480143436,228
blackscholes,6,.47471176470588235294,18.69053869191931594132,268
blackscholes,7,.40718823529411764705,17.94069275506427544806,307
blackscholes,8,.35624117647058823529,17.31817717227084657879,347
streamcluster,1,4.28221764705882352941,66.11864518088291694468,70
streamcluster,2,2.44510588235294117647,45.97624622198909537997,109
streamcluster,3,1.83290000000000000000,40.10328318443043935354,149
streamcluster,4,1.52724117647058823529,37.77034917391571365050,189
streamcluster,5,1.34420000000000000000,36.88326030522566620354,228
streamcluster,6,1.22295294117647058823,36.70935606093761143527,268
streamcluster,7,1.13651176470588235294,36.95371295157564495050,307
streamcluster,8,1.07226470588235294117,37.45537794577841643312,347
