Cores                  : 3
Frequency (MHz)        : 1700
Voltage (V)            : 1.07823
Area (mm^2)            : 149

Time (s)               : .92964705882352941176
Total energy (J)       : 23.92396726739282221051
Energy-Delay Product   : 22.24084580552212718899

Core dynamic energy (J): 7.08073374770370370354
Core static energy (J) : 3.95030174316785999997
L1 dynamic energy (J)  : .0286172107245
L1 static energy (J)   : .10603861136470588235
L2 dynamic energy (J)  : .2927830506354
L2 static energy (J)   : 1.55489327364705882352
L3 dynamic energy (J)  : .03674120207003000000
L3 static energy (J)   : 8.23803022588235294113
Mem dynamic energy (J) : 0.17961813185309386
Mem static energy (J)  : 2.456210070344117
