Cores                  : 1
Frequency (MHz)        : 1700
Voltage (V)            : 1.07823
Area (mm^2)            : 70

Time (s)               : 2.11363529411764705882
Total energy (J)       : 36.84235925958122983324
Energy-Delay Product   : 77.87131084961299024234

Core dynamic energy (J): 7.08074790917119911094
Core static energy (J) : 2.99378748365727899999
L1 dynamic energy (J)  : .0348958460250
L1 static energy (J)   : .08036273888117647058
L2 dynamic energy (J)  : .378603605016
L2 static energy (J)   : 1.17839606281176470588
L3 dynamic energy (J)  : .55226521959481000000
L3 static energy (J)   : 18.72989461341176470585
Mem dynamic energy (J) : 0.23340385130414734
Mem static energy (J)  : 5.5800019297080885
